antiga;nova;local
RPP2-1-2-1B;RPP2-1-1-2B;Data Hall 2
RPP2-1-2-1C;RPP2-1-1-2C;Data Hall 2
RPP2-2-1-1A;RPP2-1-2-1A;Data Hall 2
RPP2-2-1-1B;RPP2-1-2-1B;Data Hall 2
RPP2-2-1-1C;RPP2-1-2-1C;Data Hall 2
RPP2-2-1-1D;RPP2-1-2-1D;Data Hall 2
RPP2-2-2-1B;RPP2-1-2-2B;Data Hall 2
RPP2-2-2-1C;RPP2-1-2-2C;Data Hall 2
RPP2-2-2-1A;RPP2-1-2-2A;Data Hall 2
CDP2-1-2-2;PDU2-2-1-2;Data Hall 2.2
CDP2-1-4-2;PDU2-2-1-4;Data Hall 2.2
CDP2-2-1-2;PDU2-2-2-1;Data Hall 2.2
CDP2-2-3-2;PDU2-2-2-3;Data Hall 2.2
RPP2-2-1-2B;RPP2-2-2-1B;Data Hall 2.2
RPP2-1-2-2B;RPP2-2-1-2B;Data Hall 2.2
RPP2-2-1-2A;RPP2-2-2-1A;Data Hall 2.2
ATS-ACDP-CH6-2B;ATS-DP2-1CRAH-TA-S2 ;DH2 CORREDOR D
C04013CRAH2D01;CRAH2-D01;DH2 CORREDOR D
C04013CRAH2D02;CRAH2-D02;DH2 CORREDOR D
C04013CRAH2D03;CRAH2-D03;DH2 CORREDOR D
C04013CRAH2D04;CRAH2-D04;DH2 CORREDOR D
C04013CRAH2D21;CRAH2-D21;DH2 CORREDOR D
C04013CRAH2D22;CRAH2-D22;DH2 CORREDOR D
C04013CRAH2D23;CRAH2-D23;DH2 CORREDOR D
C04013CRAH2D24;CRAH2-D24;DH2 CORREDOR D
;CRAH2-D07;DH2 CORREDOR D
CDP2-2-1-1;PDU2-1-2-1;DH2 CORREDOR D
CDP2-2-2-1;PDU2-1-2-2;DH2 CORREDOR D
ATS-ACDP-CH6-1A;ATS-DP2-1CRAH-TA-S1 ;DH2 CORREDOR D
ACDP-CH6-2B;DP2-1-CRAH-TA-S2 ;DH2 CORREDOR D
;CRAH2-D08;DH2 CORREDOR D
;CRAH2-D09;DH2 CORREDOR D
;CRAH2-D10;DH2 CORREDOR D
;CRAH2-D11;DH2 CORREDOR D
CDP2-1-1-1;PDU2-1-1-1;DH2 CORREDOR D
CA;ACP-FL04-TA-D;
ATS-ACDP-CH5-2B;ATS-DP-CH5-2B;
ACDP-CH5-2B;DP-CH5-2B;
CRAC-TX-02;CRAC-TX-02;Sala TX B2B
QDF-500-A1-48V;PDP-500-A1-48V;
HVAC-NOC-1P2;HVAC-FL04-NOC-1P2;
HVAC 1 A-27;FC1A-27;
HVAC 1 B-26;FC1B-26;
 HVAC 1 B-27;FC1B-27;
HVAC 1 C-2;FC1C-2;
HVAC 1 C-3;FC1C-3;
HVAC 1 C-4;FC1C-4;
HVAC 1 C-5;FC1C-5;
HVAC 1 C-6;FC1C-6;
HVAC 1 LB-1;FC1LB-1;
HVAC 1P-2;FC1P-2;
HVAC 1P-3;FC1P-3;
HVAC 1 C-1;FC1C-1;
;FCNOC1P-1;
;FCC-26;
HVAC-D-27;HVAC-FL04-D-27;
HVAC-C-26;HVAC-FL04-C-26;
HVAC 1 A-26;FC1A-26;
HVAC-D-26;HVAC-FL04-D-26;
VAV-2-1P1;VAV-2-FL04-1P1;
HVAC-NOC-1P1;HVAC-FL04-NOC-1P1;
VAV-11-1P2;VAV-11-FL04-1P2;
VAV-11-1P3;VAV-11-FL04-1P3;
VAV-11-1P4;VAV-11-FL04-1P4;
HVAC-C-27;HVAC-FL04-C-27;
VAV-11-1P1;VAV-11-FL04-1P1;
VAV-2-1P10;VAV-2-FL04-1P10;
VAV-1-1P4;VAV-1-FL04-1P4;
VAV-1-1P5;VAV-1-FL04-1P5;
VAV-1-1P6;VAV-1-FL04-1P6;
VAV-1-1P7;VAV-1-FL04-1P7;
VAV-11-1P5;VAV-11-FL04-1P5;
VAV-2-1P2;VAV-2-FL04-1P2;
VAV-2-1P3;VAV-2-FL04-1P3;
VAV-3-1p1;VAV-3-FL04-1P1;
VAV-1-1p3;VAV-1-FL04-1P3;
VAV-1-1P1;VAV-1-FL04-1P1;
VAV-2-1P4;VAV-2-FL04-1P4;
VAV-2-1P5;VAV-2-FL04-1P5;
VAV-2-1P6;VAV-2-FL04-1P6;
VAV-2-1P7;VAV-2-FL04-1P7;
VAV-2-1p9;VAV-2-FL04-1P9;
VAV-2-1p11;VAV-2-FL04-1P11;
VAV-2-1p8;VAV-2-FL04-1P8;
VAV-2-1p12;VAV-2-FL04-1P12;
VI 1P 1;FAN1P-1;
;FCNOC1P-2;
HVAC 1 EN-1;FC1EN-1;
;FCC-27;
;FCD-26;
;FCD-27;
;VIDEO-WALL;
;FC1P-1;
;FC1P-1;
;FCMEZ-1;
